"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"Bloody Roar Extreme","XB","2003","Fighting","Hudson Soft",0.03,0.01,0,0,0.04,61,22,"8.6",9,"Eighting/Raizing","T"
"Metal Slug Advance","GBA","2004","Shooter","Ignition Entertainment",0.06,0.02,0,0,0.08,79,32,"8.3",14,"Noise Factory","T"
"Metro 2033","PC","2010","Shooter","THQ",0,0.19,0,0.05,0.24,81,40,"8.1",1472,"4A Games","M"
"Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.","GC","2005","Platform","Global Star",0.04,0.01,0,0,0.05,58,6,"tbd",NA,"High Voltage Software","E10+"
"DiRT Rally","XOne","2016","Racing","Codemasters",0.04,0.08,0,0.01,0.12,86,17,"8",60,"Codemasters","E"
"Mad Max (2015)","XOne","2015","Action","Warner Bros. Interactive Entertainment",0.28,0.16,0,0.04,0.48,NA,NA,"",NA,"",""
"Tomoyo After: It's a Wonderful Life CS Edition","PS2","2007","Adventure","Prototype",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Street Racer","PS","1996","Racing","Ubisoft",0.09,0.06,0,0.01,0.16,NA,NA,"",NA,"",""
"Let's Sing 2016","PS4","2015","Action","FuRyu Corporation",0.03,0,0,0.01,0.03,NA,NA,"tbd",NA,"Voxler","T"
"Pro Yakyuu Famista 2011","3DS","2011","Sports","Namco Bandai Games",0,0,0.06,0,0.06,NA,NA,"",NA,"",""
"Baku Baku","SAT","1995","Puzzle","Sega",0,0,0.05,0,0.05,NA,NA,"",NA,"",""
"Mahouka Koukou no Rettousei: Out of Order","PSV","2014","Adventure","Namco Bandai Games",0,0,0.06,0,0.06,NA,NA,"",NA,"",""
"Spider-Man 3","PSP","2007","Platform","Activision",0.01,0.23,0,0.05,0.3,52,7,"7.4",9,"Treyarch","T"
"Super Monkey Ball Adventure","PS2","2006","Platform","Sega",0.01,0.01,0,0,0.03,53,32,"6.7",10,"TT Games","E"
"Samurai Warriors 4","PS3","2014","Action","Tecmo Koei",0,0,0.26,0,0.26,NA,NA,"8",11,"Omega Force","T"
"Odin Sphere","PS2","2007","Role-Playing","Square Enix",0.23,0.18,0.09,0.06,0.56,83,49,"8.6",59,"Vanilla Ware","T"
"Junjou Romanchika: Koi no Doki Doki Daisakusen","PS2","2008","Adventure","Marvelous Interactive",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Ouka Sengoku Portable","PSP","2012","Adventure","Alchemist",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Farmtopia","DS","2010","Simulation","505 Games",0.18,0,0,0.01,0.19,NA,NA,"tbd",NA,"505 Games","E"
"NBA In The Zone '98","N64","1997","Sports","Konami Digital Entertainment",0.25,0.02,0,0,0.27,NA,NA,"",NA,"",""
"Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III","Wii","2011","Role-Playing","Square Enix",0,0,0.47,0,0.47,NA,NA,"",NA,"",""
"The Chronicles of Riddick: Assault on Dark Athena","PS3","2009","Shooter","Vivendi Games",0.12,0.09,0,0.04,0.25,80,45,"7.7",40,"Starbreeze","M"
"Family Guy","PSP","2006","Action","Take-Two Interactive",0.18,0,0,0.02,0.19,51,14,"6.3",15,"High Voltage Software","M"
"Lara Croft and the Temple of Osiris","PS4","2014","Action","Square Enix",0,0.07,0,0.01,0.09,74,40,"6.7",128,"Nixxes Software","T"
"SpongeBob SquarePants: Battle for Bikini Bottom","XB","2003","Platform","THQ",0.45,0.1,0,0.02,0.57,70,8,"8.9",17,"Heavy Iron Studios","E"
"Go Vacation","Wii","2011","Misc","Namco Bandai Games",0.42,0.65,0.33,0.14,1.53,64,28,"7.8",13,"Namco Bandai Games","E10+"
"Virtua Tennis 3","PS3","2007","Sports","Sega",0.23,0.58,0.03,0.21,1.05,80,35,"7.9",32,"Sega AM3","E"
"FIFA Soccer","PSP","2005","Sports","Electronic Arts",0.11,0,0,0.01,0.12,73,23,"7.7",22,"EA Canada","E"
"Supremacy MMA","X360","2011","Fighting","505 Games",0.05,0.02,0,0.01,0.08,49,17,"6.2",11,"Kung Fu Factory","M"
"Prince of Persia: The Forgotten Sands","Wii","2010","Action","Ubisoft",0.1,0.11,0,0.02,0.23,77,24,"8.1",31,"Ubisoft Quebec","T"
"Dora's Cooking Club","DS","2010","Misc","Take-Two Interactive",0.08,0.01,0,0.01,0.1,NA,NA,"",NA,"",""
"Rugrats Studio Tour","PS","1999","Adventure","THQ",0.57,0.67,0,0.07,1.31,NA,NA,"",NA,"",""
"Go Diego Go! Great Dinosaur Rescue","DS","2008","Action","Take-Two Interactive",0.43,0.01,0,0.03,0.47,NA,NA,"",NA,"",""
"Harvest Moon: Friends of Mineral Town","GBA","2003","Simulation","Ubisoft",0.34,0.13,0.11,0.01,0.59,81,25,"9.6",116,"TOSE","E"
"Tom Clancy's HAWX 2","PC","2010","Action","Ubisoft",0,0.04,0,0.01,0.05,66,12,"3.8",47,"Ubisoft","T"
"Skylanders: Spyro's Adventure","3DS","2011","Action","Activision",0.32,0.2,0,0.05,0.57,82,8,"4.9",62,"Vicarious Visions","E10+"
"Jackass the Game","PS2","2007","Action","Empire Interactive",0.14,0.11,0,0.04,0.28,58,24,"6.6",14,"Sidhe Interactive","M"
"Just In Time Translations","DS","2009","Misc","THQ",0.1,0,0,0.01,0.1,NA,NA,"tbd",NA,"THQ","E"
"Persona 4: Dancing All Night","PSV","2015","Misc","Nippon Ichi Software",0.09,0.04,0.15,0.04,0.32,76,51,"8.6",83,"Atlus, Dingo Inc.","T"
"Future Tactics: The Uprising","PS2","2004","Strategy","Crave Entertainment",0.03,0.03,0,0.01,0.07,61,25,"6",6,"Zed Two Limited","T"
"Rogue Galaxy","PS2","2005","Role-Playing","Sony Computer Entertainment",0.24,0.16,0.39,0.05,0.84,83,59,"8.4",89,"Level 5","T"
"The BIGS","X360","2007","Sports","Take-Two Interactive",0.18,0.08,0,0,0.27,79,23,"8.4",21,"Blue Castle Games","E"
"Saint Seiya: Sanctuary Battle","PS3","2011","Action","Namco Bandai Games",0,0.09,0.11,0.02,0.23,62,14,"7.3",34,"Dimps Corporation",""
"Jewel Quest Mysteries: Curse of the Emerald Tear","DS","2010","Puzzle","Avanquest",0,0.25,0,0.04,0.28,NA,NA,"",NA,"",""
"Family Feud: 2010 Edition","DS","2009","Misc","Ubisoft",0.24,0,0,0.02,0.26,NA,NA,"tbd",NA,"Ludia Inc.","E"
"Split/Second","PC","2010","Racing","Disney Interactive Studios",0,0.04,0,0.01,0.04,79,18,"8.2",116,"Black Rock Studio","E10+"
"Press Your Luck 2010 Edition","DS","2009","Misc","Ubisoft",0.18,0,0,0.01,0.2,NA,NA,"tbd",NA,"Ludia Inc.","E"
"Fairy Fencer F: Advent Dark Force","PS4","2015","Role-Playing","Idea Factory International",0.02,0,0.05,0,0.07,71,21,"6.2",34,"Compile Heart","T"
"O.D.T.: Escape... Or Die Trying","PS","1997","Adventure","Psygnosis",0.07,0.05,0,0.01,0.12,NA,NA,"",NA,"",""
"Disgaea 4: A Promise Unforgotten","PSV","2014","Role-Playing","Nippon Ichi Software",0.03,0.03,0.08,0.02,0.15,NA,NA,"",NA,"",""
"Hang On GP","SAT","1995","Racing","Sega",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Kabushiki Baibai Trainer: Kabutore!","DS","2006","Simulation","Konami Digital Entertainment",0,0,0.1,0,0.1,NA,NA,"",NA,"",""
"NewU Fitness First Mind Body, Yoga & Pilates Workout","Wii","2010","Sports","Black Bean Games",0.12,0.01,0,0.01,0.14,NA,NA,"",NA,"",""
"XBLAZE Code: Embryo","PS3","2013","Adventure","Arc System Works",0.02,0,0.01,0.01,0.04,NA,NA,"7.1",14,"Arc System Works","M"
"Xbox Live Arcade Unplugged Volume 1","X360","2006","Misc","Microsoft Game Studios",0.05,0.01,0,0.01,0.07,NA,NA,"tbd",NA,"",""
"Silent Hill 4: The Room","XB","2004","Action","Konami Digital Entertainment",0.14,0.04,0,0.01,0.18,76,43,"8.3",26,"KCET","M"
"The Legend of Heroes: Trails in the Sky Second Chapter","PSP","2007","Role-Playing","Falcom Corporation",0,0,0.06,0,0.06,NA,NA,"",NA,"",""
"Metal Gear Ac!d 2","PSP","2005","Strategy","Konami Digital Entertainment",0.11,0,0.05,0.01,0.18,NA,NA,"",NA,"",""
"Grand Theft Auto: Vice City","PS2","2002","Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,95,62,"8.7",730,"Rockstar North","M"
"G1 Jockey 4 2008","PS3","2008","Sports","Tecmo Koei",0,0,0,0,0.01,NA,NA,"",NA,"",""
"Sword Art Online: Lost Song","PSV","2015","Role-Playing","Namco Bandai Games",0.06,0.04,0.23,0.03,0.36,70,4,"7.1",27,"Bandai Namco Games, Artdink","T"
"Dora the Explorer: Journey to the Purple Planet","GC","2005","Adventure","Global Star",0.09,0.02,0,0,0.12,NA,NA,"tbd",NA,"Take-Two Interactive","EC"
"Naruto Shippuden: Naruto vs. Sasuke","DS","2008","Action","Takara Tomy",0.07,0,0.03,0,0.11,64,7,"tbd",NA,"Takara Tomy","E10+"
"Final Fantasy XII","PS2","2006","Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95,92,64,"7.6",972,"Square Enix","T"
"Tom Clancy's Ghost Recon 2","PS2","2004","Shooter","Ubisoft",0.64,0.34,0,0.1,1.08,58,21,"6",19,"Ubisoft Shanghai/Paris","T"
"Learn Science","DS","2010","Misc","DreamCatcher Interactive",0.05,0,0,0,0.05,NA,NA,"tbd",NA,"Dreamcatcher","E"
"Kingdoms of Amalur: Reckoning","PS3","2012","Role-Playing","Electronic Arts",0.37,0.29,0.09,0.11,0.85,81,34,"7.6",376,"Big Huge Games","M"
"Tales of Berseria","PS4","2016","Role-Playing","Namco Bandai Games",0,0,0.23,0,0.23,NA,NA,"",NA,"Bandai Namco Games","T"
"Disney's The Lion King: Simba's Mighty Adventure","PS","2000","Action","Activision",0.08,0.06,0,0.01,0.15,30,5,"6.9",9,"Paradox Development","E"
"Puzzle & Dragons X: God Chapter / Dragon Chapter","3DS","2016","Action","GungHo",0,0,0.22,0,0.22,NA,NA,"",NA,"",""
"NBA Jam","Wii","2010","Sports","Electronic Arts",0.36,0.02,0,0.02,0.4,79,43,"8.5",20,"EA Canada","E"
"Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2","DS","2007","Misc","Nintendo",0,0,0.27,0,0.27,NA,NA,"",NA,"",""
"Rozen Maiden: Duellwalzer","PS2","2006","Adventure","Taito",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Global Touring Challenge: Africa","PS2","2001","Racing","Rage Software",0.05,0.04,0,0.01,0.1,64,12,"tbd",NA,"Rage Software","E"
"Disney's Planes","3DS","2013","Simulation","Disney Interactive Studios",0.04,0.03,0,0.01,0.07,NA,NA,"4.3",6,"TOSE","E"
"Dragon Age II","PS3","2011","Action","Electronic Arts",0.4,0.26,0.05,0.11,0.83,82,52,"4.3",1197,"BioWare","M"
"SSX","X360","2012","Sports","Electronic Arts",0.38,0.26,0,0.06,0.7,82,65,"6.4",186,"EA Canada","E"
"Worms World Party","PC","2001","Strategy","Virgin Interactive",0,0.01,0,0,0.02,75,8,"7.6",68,"Team 17","E"
"Phantom Brave: We Meet Again","Wii","2009","Role-Playing","Nippon Ichi Software",0.12,0,0.01,0.01,0.13,76,12,"7.1",15,"Nippon Ichi Software","T"
"Gochuumon wa Usagi Desu ka?? Wonderful Party!","PSV","2016","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Puppies 3D","3DS","2011","Misc","Ubisoft",0.08,0.04,0,0.01,0.13,NA,NA,"tbd",NA,"MTO","E"
"Fantasia: Music Evolved","X360","2014","Misc","Disney Interactive Studios",0.06,0.01,0,0.01,0.07,NA,NA,"7",7,"Harmonix Music Systems","E10+"
"Virtua Tennis 3","X360","2007","Sports","Sega",0.03,0.01,0,0,0.04,80,34,"6.8",26,"Sumo Digital","E"
"Inazuma Eleven GO","3DS","2011","Role-Playing","Nintendo",0,0.05,0.48,0,0.53,NA,NA,"",NA,"",""
"Nightmare Creatures II","PS","2000","Action","Konami Digital Entertainment",0.09,0.06,0,0.01,0.17,NA,NA,"",NA,"",""
"Interplay Sports Baseball 2000","PS","1999","Sports","Interplay",0.03,0.02,0,0,0.06,NA,NA,"",NA,"",""
"Max & the Magic Marker","Wii","2011","Platform","Unknown",0,0.03,0,0,0.03,NA,NA,"",NA,"",""
"Pachi-Slot Aruze Oukoku 2","PS","1999","Misc","Aruze Corp",0,0,0.5,0.04,0.54,NA,NA,"",NA,"",""
"Record of Lodoss War: Eiyuu Sensou","SCD","1994","Role-Playing","Sega",0,0,0.06,0,0.06,NA,NA,"",NA,"",""
"Option Tuning Car Battle","PS","1998","Racing","MTO",0,0,0.09,0.01,0.1,NA,NA,"",NA,"",""
"Nobunaga no Yabou Online: Houou no Shou","PS3","2012","Strategy","Ackkstudios",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Higurashi no Naku Koro ni Iki","PS3","2015","Action","Kaga Create",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Wario Land 4","GBA","2001","Platform","Nintendo",0.9,0.73,0.54,0.09,2.26,88,17,"8.9",42,"Nintendo","E"
"Bladestorm: The Hundred Years' War","X360","2007","Action","Tecmo Koei",0.08,0.01,0,0.01,0.09,63,26,"6.8",16,"Omega Force","T"
"My Hero: Doctor","DS","2009","Action","Majesco Entertainment",0.02,0,0,0,0.02,NA,NA,"tbd",NA,"Majesco Games, Majesco","E10+"
"Dragon Ball Z for Kinect","X360","2012","Fighting","Namco Bandai Games",0.01,0,0,0,0.01,49,32,"2.1",39,"Spike","T"
"SeaWorld Adventure Parks: Shamu's Deep Sea Adventure","DS","2005","Adventure","Activision",0.05,0,0,0,0.05,NA,NA,"",NA,"",""
"Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+","PSP","2009","Role-Playing","Gust",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Dollar Dash","PS2","2005","Action","Take-Two Interactive",1.3,0.23,0,0.07,1.6,NA,NA,"",NA,"",""
"Iridium Runners","PS2","2008","Racing","SouthPeak Games",0.01,0.01,0,0,0.02,57,12,"tbd",NA,"Playstos Entertainment","E"
"Kanji Sonomama DS Rakubiki Jiten","DS","2006","Misc","Nintendo",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Hiiro no Kakera 2: Hisui no Shizuku","PS2","2007","Adventure","Idea Factory",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Destiny: The Collection","PS4","2016","Shooter","Activision",0.05,0.15,0,0.04,0.24,NA,NA,"8.1",9,"Bungie","T"
"Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu","GBA","2006","Role-Playing","Marvelous Interactive",0,0,0.02,0,0.03,NA,NA,"",NA,"",""
"Trivial Pursuit unhinged","PS2","2004","Misc","Atari",0.09,0.07,0,0.02,0.19,51,11,"tbd",NA,"Artech Studios","T"
"Calvin Tucker's Redneck Jamboree","Wii","2008","Misc","Zoo Games",0.28,0,0,0.02,0.31,26,6,"tbd",NA,"Humagade","E10+"
"Dragon's Crown","PSV","2013","Role-Playing","Nippon Ichi Software",0.14,0.05,0.12,0.05,0.35,78,15,"8.4",198,"Vanillaware","T"
"Earth Defense Force: Insect Armageddon","PS3","2011","Shooter","D3Publisher",0.06,0.04,0.08,0.02,0.2,63,28,"7",24,"Vicious Cycle","T"
"Just Dance: Disney Party 2","X360","2015","Action","Ubisoft",0.05,0.01,0,0.01,0.07,NA,NA,"tbd",NA,"Ubisoft","E"
"Captain Rainbow","Wii","2008","Adventure","Nintendo",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Nurarihyon no Mago: Hyakki Ryouran Taisen","PS3","2011","Fighting","Konami Digital Entertainment",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Pro Pinball: Big Race USA","PS","1999","Simulation","Take-Two Interactive",0.37,0.25,0,0.04,0.66,69,4,"tbd",NA,"Cunning Developments","E"
"B's-LOG Party♪","PSP","2010","Adventure","Idea Factory",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Dynasty Warriors 5","PS2","2005","Action","Tecmo Koei",0.24,0.18,0.91,0.06,1.39,69,29,"8.8",68,"Omega Force","T"
"Triple Play 2002","PS2","2002","Sports","Electronic Arts",0.43,0.33,0,0.11,0.87,65,17,"tbd",NA,"Pandemic Studios","E"
"SAW","PC","2009","Action","Konami Digital Entertainment",0,0.02,0,0,0.02,55,6,"6",31,"Zombie Studios","M"
"Dynasty Warriors: Eiketsuden","PSV","2016","Action","Tecmo Koei",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"64 de Hakken! Tamagotchi Minna de Tamagotchi World","N64","1997","Misc","Namco Bandai Games",0,0,0.22,0,0.22,NA,NA,"",NA,"",""
"Super Formation Soccer 94","SNES","1994","Sports","Human Entertainment",0,0,0.37,0,0.37,NA,NA,"",NA,"",""
"Nickelodeon Fit","Wii","2010","Sports","Take-Two Interactive",0.76,0.09,0,0.06,0.91,NA,NA,"tbd",NA,"High Voltage Software","E"
"The Jak and Daxter Collection","PS3","2012","Platform","Sony Computer Entertainment",0.6,0.18,0,0.11,0.89,NA,NA,"",NA,"",""
"Wolfenstein 3D","GBA","2002","Shooter","BAM! Entertainment",0.12,0.04,0,0,0.17,57,9,"6",7,"Stalker Entertainment","M"
"Superman: The Man of Steel","XB","2002","Action","Atari",0.1,0.03,0,0,0.13,44,19,"6",11,"Circus Freak","T"
"Gaia Saver Hero Saidai no Sakusen","SNES","1994","Role-Playing","Banpresto",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Deca Sports 3","Wii","2010","Sports","Hudson Soft",0.14,0.07,0,0.02,0.23,41,7,"tbd",NA,"Hudson, NATSUME ATARI Inc.","E"
"Deus Ex: Invisible War","XB","2003","Shooter","Eidos Interactive",0.25,0.07,0,0.01,0.33,84,50,"7.6",37,"Ion Storm","M"
"Super Collapse! II","GBA","2004","Puzzle","Majesco Entertainment",0.02,0.01,0,0,0.03,NA,NA,"",NA,"",""
"Mobile Suit Z Gundam: AEUG vs. Titans","PS2","2003","Fighting","Namco Bandai Games",0,0,0.63,0,0.63,NA,NA,"",NA,"",""
"Monster Mayhem: Build and Battle","DS","2009","Simulation","Zushi Games",0.02,0,0,0,0.03,NA,NA,"tbd",NA,"Brain Toys","E"
"Mischief Makers","N64","1997","Platform","Nintendo",0.25,0.06,0.07,0.06,0.43,NA,NA,"",NA,"",""
"Gundam Try Age SP","3DS","2014","Strategy","Namco Bandai Games",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"The Biggest Loser: Challenge","Wii","2010","Sports","THQ",0.48,0.12,0,0.05,0.65,NA,NA,"tbd",NA,"Blitz Games Studios","E"
"Cabela's Dangerous Hunts 2011","Wii","2010","Sports","Activision",0.52,0.02,0,0.04,0.57,NA,NA,"tbd",NA,"Activision","T"
"Kumamon Bomber: Puzzle de Kumamon Taisou","GC","2005","Puzzle","Sega",0.32,0.08,0,0.01,0.42,NA,NA,"",NA,"",""
"Ty the Tasmanian Tiger","XB","2002","Platform","Electronic Arts",0.14,0.04,0,0.01,0.18,68,13,"8.5",11,"Krome Studios","E"
"Sam & Max: Season One","Wii","2008","Adventure","JoWood Productions",0.13,0.01,0,0.01,0.15,NA,NA,"",NA,"",""
"Singularity","PC","2010","Shooter","Mastertronic",0,0.04,0,0.01,0.05,76,36,"7.7",326,"Raven Software","M"
"Petz Fantasy: Moonlight Magic","DS","2010","Simulation","Ubisoft",0.11,0,0,0.01,0.12,NA,NA,"tbd",NA,"Ubisoft","E"
"Vampire Rain: Altered Species","PS3","2008","Action","Ignition Entertainment",0.05,0,0,0,0.06,30,15,"3.5",36,"Artoon","M"
"Chronicles of Mystery: Curse of the Ancient Temple","DS","2009","Adventure","City Interactive",0.07,0.1,0,0.02,0.19,57,7,"tbd",NA,"City Interactive","E"
"Nodame Cantabile","PS2","2007","Misc","Banpresto",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"The Incredible Hulk","GBA","2003","Action","Universal Interactive",0.4,0.15,0,0.01,0.56,NA,NA,"",NA,"",""
"Eiken DS","DS","2007","Misc","Rocket Company",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Gotouchi Kenkei DS","DS","2006","Misc","Spike",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Guitar Hero: Smash Hits","PS3","2009","Misc","Activision",0.2,0.11,0,0.05,0.35,73,34,"7.2",9,"Beenox","T"
"Discovery Kids: Puppy Playtime","DS","2009","Simulation","505 Games",0.3,0,0,0.02,0.33,NA,NA,"tbd",NA,"505 Games","E"
"The Golden Compass","PS2","2007","Action","Sega",0.13,0,0,0.39,0.52,46,10,"5.2",6,"Shiny Entertainment","E10+"
"We Love Golf!","Wii","2007","Sports","Capcom",0.19,0,0.03,0.02,0.24,NA,NA,"",NA,"",""
"Overwatch","XOne","2016","Shooter","Activision",0.63,0.33,0,0.1,1.06,91,18,"5.6",668,"Blizzard Entertainment","T"
"Challenge Me: Word Puzzles","DS","2011","Puzzle","O-Games",0.03,0,0,0,0.03,NA,NA,"tbd",NA,"O-Games","E10+"
"World Championship Poker 2: Featuring Howard Lederer","PS2","2005","Misc","Oxygen Interactive",0.16,0.13,0,0.04,0.34,67,20,"tbd",NA,"Point of View","T"
"Praetorians","PC","2003","Strategy","Eidos Interactive",0,0.04,0,0,0.04,78,23,"8.2",38,"Pyro Studios","T"
"Metal Fight Beyblade","DS","2009","Action","Hudson Soft",0,0,0.09,0,0.09,NA,NA,"",NA,"",""
"Saints Row IV","PS3","2013","Action","Deep Silver",0.56,0.41,0.09,0.19,1.25,76,26,"6.3",278,"Volition Inc.","M"
"Growlanser VI: Precarious World","PS2","2007","Role-Playing","Atlus",0,0,0.05,0,0.05,NA,NA,"",NA,"",""
"12Riven: The Psi-Climinal of Integral","PS2","2008","Adventure","CyberFront",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Cabela's Survival: Shadows of Katmai","X360","2011","Sports","Activision",0.14,0.03,0,0.01,0.18,NA,NA,"3.5",6,"Activision","T"
"NBA Live 08","X360","2007","Sports","Electronic Arts",0.47,0,0,0.04,0.52,73,37,"5.3",19,"EA Canada","E"
"Stella Glow","3DS","2015","Role-Playing","Atlus",0.16,0.01,0.05,0.02,0.24,79,32,"8.7",82,"Image Epoch, Imageepoch","T"
"Disney Fairies: Tinker Bell","DS","2008","Adventure","Disney Interactive Studios",0.85,0.51,0.01,0.15,1.51,NA,NA,"7.8",5,"Genius Sonority Inc., Disney Interactive Studios","E"
"Turning Point: Fall of Liberty","X360","2008","Shooter","Codemasters",0.23,0.04,0,0.02,0.29,43,44,"6.8",87,"Spark Unlimited","T"
"Littlest Pet Shop: Garden","DS","2008","Simulation","Electronic Arts",0.31,0.23,0,0.06,0.6,NA,NA,"tbd",NA,"Electronic Arts","E"
"DS Uranai Seikatsu","DS","2009","Misc","Nintendo",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Need for Speed: ProStreet","PC","2007","Racing","Electronic Arts",0,0.04,0,0.01,0.04,70,18,"5.9",163,"EA Games","E10+"
"NCAA March Madness 2004","PS2","2003","Sports","Electronic Arts",0.5,0.39,0,0.13,1.03,82,16,"8.8",12,"NuFX","E"
"Disney Infinity","3DS","2013","Action","Disney Interactive Studios",0.17,0.1,0,0.02,0.29,NA,NA,"",NA,"",""
"Bakugan Battle Brawlers: Defenders of the Core","Wii","2010","Action","Activision",0.14,0,0,0.01,0.16,NA,NA,"tbd",NA,"Now Production","E10+"
"Ys Seven","PSP","2009","Role-Playing","Falcom Corporation",0.14,0,0.08,0.02,0.23,79,27,"8.5",65,"Falcom","T"
"N+","DS","2007","Platform","Atari",0.06,0,0,0,0.07,82,20,"7.4",20,"Metanet Software Inc., SilverBirch Studios","E"
"RoadKill","GC","2003","Action","Midway Games",0.02,0.01,0,0,0.03,64,12,"tbd",NA,"Terminal Reality","M"
"IL-2 Sturmovik: Birds of Prey","DS","2009","Simulation","505 Games",0.06,0,0,0,0.06,41,4,"2.4",5,"DiP Interactive","E10+"
"Fullmetal Alchemist: Prince of the Dawn","Wii","2009","Adventure","Square Enix",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Momotaro Douchuuki","SAT","1997","Misc","Hudson Soft",0,0,0.13,0,0.13,NA,NA,"",NA,"",""
"Professor Layton and the Mask of Miracle","3DS","2011","Puzzle","Nintendo",0.32,0.97,0.36,0.13,1.79,NA,NA,"",NA,"",""
"Medal of Honor Heroes 2","PSP","2007","Shooter","Electronic Arts",0.5,0.39,0.02,0.25,1.15,69,20,"7.3",30,"EA LA","T"
"Final Fantasy Fables: Chocobo Tales","DS","2006","Adventure","Ubisoft",0.1,0.01,0.12,0.01,0.24,75,42,"7.4",28,"h.a.n.d. Inc.","E"
"Plants vs. Zombies: Garden Warfare","XOne","2014","Shooter","Electronic Arts",0.39,0.23,0,0.06,0.69,76,65,"7.4",438,"PopCap","E10+"
"Commandos 3: Destination Berlin","PC","2003","Strategy","Eidos Interactive",0,0.02,0,0,0.02,72,24,"7.6",83,"Pyro Studios","T"
"Monopoly","X360","2008","Misc","Electronic Arts",0.34,0.2,0,0.06,0.59,56,9,"5.8",17,"EA Bright Light","E"
"Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban","PSP","2009","Adventure","Tecmo Koei",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Personal Trainer: Math","DS","2007","Puzzle","Nintendo",0.48,1.12,0,0.08,1.69,63,11,"tbd",NA,"Jupiter Corporation","E"
"Tetris 2 (All region sales)","GB","1992","Puzzle","Nintendo",0.56,0.22,0.43,0.03,1.24,NA,NA,"",NA,"",""
"God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5","PS4","2016","Misc","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Bounty Hounds","PSP","2006","Action","Namco Bandai Games",0.03,0,0,0,0.03,63,14,"6",7,"Xpec","T"
"Hakuoki: Stories of the Shinsengumi","PS3","2010","Adventure","Idea Factory",0.03,0,0.03,0.01,0.06,NA,NA,"6.5",10,"Design Factory","M"
"Diablo III","PS4","2014","Role-Playing","Activision",0.51,0.98,0.06,0.28,1.82,NA,NA,"",NA,"Blizzard Entertainment","M"
"Just Dance","Wii","2009","Misc","Ubisoft",3.48,2.99,0,0.73,7.2,49,21,"8",110,"Ubisoft Paris","E10+"
"Urakata Hakuoki","PSP","2013","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"World Soccer Winning Eleven 8 International","XB","2004","Sports","Konami Digital Entertainment",0.07,0.02,0,0,0.09,90,25,"8.4",11,"KCET","E"
"LEGO Jurassic World","3DS","2015","Action","Warner Bros. Interactive Entertainment",0.31,0.23,0.03,0.05,0.62,NA,NA,"7.2",11,"TT Games","E10+"
"Just Dance Wii 2","Wii","2012","Misc","Nintendo",0,0,0.29,0,0.29,NA,NA,"",NA,"",""
"Snood","GBA","2001","Puzzle","Destination Software, Inc",0.09,0.03,0,0,0.13,68,4,"tbd",NA,"Rebellion","E"
"Evolve","XOne","2015","Shooter","Take-Two Interactive",0.37,0.2,0,0.06,0.64,74,31,"5.1",336,"Turtle Rock Studios","M"
"Assassin's Creed: Unity","XOne","2014","Action","Ubisoft",2.27,0.9,0,0.33,3.5,72,59,"4.1",1005,"Ubisoft, Ubisoft Montreal","M"
